Disk Name	Label	Size MB	Free MB	Data Files MB	Log Files MB
C	 	122311	43840	15478.4375	31936.6875
E	DATA        	261121	81731	152754.1875	0
F	LOG         	30746	17601	0	12756.0390625
G	BACKUP      	99999	25096	0	0
H	TEMPDB      	119999	119779	0	0
I	New Volume  	45949	15193	0	0
