Name	File Name	File Size	File Group Name	MaxSize	Growth	Is Growth Percentage	Is Disk	Is Log
ValidacionTributaria_PRIMARY	E:\USER\ValidacionTributaria\ValidacionTributaria_PRIMARY.mdf	47244640256	PRIMARY	-1	131072	False	True	False
ValidacionTributaria_LOG	F:\LOG\ValidacionTributaria\ValidacionTributaria_LOG.ldf	37096521728		2199023255552	65536	False	False	True
