Disk Name	Label	Size MB	Free MB	Data Files MB	Log Files MB
C	 	81351	17868	928	228
E	DATA        	261778	137402	99084	562
F	LOG         	30089	10823	0	18491.578125
G	BACKUP      	99999	76697	0	0
H	TEMPDB      	119999	119802	0	0
