DB	User	Host	Application	Application Group	Calls	Connections	Cpu	Duration	ReadKb	WriteKb	Notes
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<34312>	DatabaseMail - DatabaseMail - Id<34312>	4	4	0	979931	1360	56	
msdb	skylab\rperez	VDI-95	Microsoft SQL Server Management Studio	MS SQL Server Management Studio	3	4	0	1099984	0	0	UI Queries, SQL Server
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<52408>	DatabaseMail - DatabaseMail - Id<52408>	4	4	0	979944	1344	56	
ft3	skylab\rperez	VDI-95	Microsoft SQL Server Management Studio	MS SQL Server Management Studio	5	1	1314	33127	65592	0	UI Queries, SQL Server
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<22680>	DatabaseMail - DatabaseMail - Id<22680>	4	4	16	979934	1424	56	
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<17620>	DatabaseMail - DatabaseMail - Id<17620>	5	5	0	1931551	2344	56	
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<48668>	DatabaseMail - DatabaseMail - Id<48668>	4	4	0	979924	1392	32	
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<45096>	DatabaseMail - DatabaseMail - Id<45096>	4	4	0	979955	1360	56	
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<30324>	DatabaseMail - DatabaseMail - Id<30324>	4	4	0	979937	1360	0	
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<29564>	DatabaseMail - DatabaseMail - Id<29564>	4	4	0	979941	1384	56	
msdb	skylab\ope_sql_neg	S1P-NEG-SQL	DatabaseMail - DatabaseMail - Id<15240>	DatabaseMail - DatabaseMail - Id<15240>	1	3	0	10	56	16	
