Disk Name	Label	Size MB	Free MB	Data Files MB	Log Files MB
C	 	71111	27429	33	29.625
E	DATA        	261778	258935	2670	0
F	LOG         	30089	29385	0	580.1875
G	BACKUP      	99999	95947	0	0
H	TEMPDB      	119999	119803	32	8
