Disk Name	Label	Size MB	Free MB	Data Files MB	Log Files MB
C	 	122377	64520	0	0
E	DATA          	204796	32112	163324	58.8125
F	LOG           	61436	19637	0	40615
G	RESPALDOS     	102396	40507	0	0
H	TEMPDB        	61436	59283	546	1416
I	ADMDBA        	61436	49401	0	0
J	DATA_PWC      	102396	93731	0	0
K	LOG_PWC       	51196	40741	0	0
L	RESPALDO_PWC  	51196	48463	0	0
M	TEMPDB_PWC    	25596	25181	0	0
