Name	File Name	File Size	File Group Name	MaxSize	Growth	Is Growth Percentage	Is Disk	Is Log
intercajas_PRIMARY	E:\USER\intercajas\intercajas_PRIMARY.mdf	15728640000	PRIMARY	-1	131072	False	True	False
intercajas_LOG	F:\LOG\intercajas\intercajas_LOG.ldf	20470300672		2199023255552	16384	False	False	True
