Name	File Name	File Size	File Group Name	MaxSize	Growth	Is Growth Percentage	Is Disk	Is Log
Monitor_PRIMARY	E:\USER\Monitor\Monitor_PRIMARY.mdf	1887436800	PRIMARY	-1	16384	False	True	False
Monitor_LOG	F:\LOG\Monitor\Monitor_LOG.ldf	10485760		2199023255552	1280	False	False	True
