DbId	Query	QueryPattern	Server	User	Application	HostName	Category	EventType	Date	Time	Count	MinDuration	MaxDuration	TotalDuration	Duration_000100	Duration_000200	Duration_000400	Duration_000800	Duration_001600	Duration_003200	Duration_006400	Duration_012800	Duration_025600	Duration_051200	Duration_102400	Duration_204800	Duration_409600	Duration_819200	Duration_1638400	MinCPU	MaxCPU	TotalCPU	CPU_000100	CPU_000200	CPU_000400	CPU_000800	CPU_001600	CPU_003200	CPU_006400	CPU_012800	CPU_025600	CPU_051200	CPU_102400	CPU_204800	CPU_409600	CPU_819200	CPU_1638400	MinReads	MaxReads	TotalReads	Reads_000100	Reads_000200	Reads_000400	Reads_000800	Reads_001600	Reads_003200	Reads_006400	Reads_012800	Reads_025600	Reads_051200	Reads_102400	Reads_204800	Reads_409600	Reads_819200	Reads_1638400	MinWrites	MaxWrites	TotalWrites	Writes_000100	Writes_000200	Writes_000400	Writes_000800	Writes_001600	Writes_003200	Writes_006400	Writes_012800	Writes_025600	Writes_051200	Writes_102400	Writes_204800	Writes_409600	Writes_819200	Writes_1638400
4	-	-	S1P-INT-SQL\PWCSQL	skylab\ope_sql_int	SQLAgent - Job Manager	S1P-INT-SQL	Logout	Audit_Logout	2022-05-12	10:00:00	24	0	87	537	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	0	0	0	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	32	88	1380	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	0	9	83	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24
7	set quoted_identifier on set arithabort off set numeric_roundabort off set ansi_warnings on set ansi_padding on set ansi_nulls on set concat_null_yields_null on set cursor_close_on_commit off set implicit_transactions off set language us_english set dateformat mdy set datefirst  set transaction isolation level read committed	set quoted_identifier on set arithabort off set numeric_roundabort off set ansi_warnings on set ansi_padding on set ansi_nulls on set concat_null_yields_null on set cursor_close_on_commit off set implicit_transactions off set language us_english set dateformat mdy set datefirst <###> set transaction isolation level read committed	S1P-INT-SQL\PWCSQL	skylab\ope_sql_int	SQLAgent - TSQL JobStep (Job 0x0CA622C248FDE44FBFF4F49AABFB61DA : Step 1)	S1P-INT-SQL	Login	Audit_Login	2022-05-12	10:00:00	5	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
7	set quoted_identifier on set arithabort off set numeric_roundabort off set ansi_warnings on set ansi_padding on set ansi_nulls on set concat_null_yields_null on set cursor_close_on_commit off set implicit_transactions off set language us_english set dateformat mdy set datefirst  set transaction isolation level read committed	set quoted_identifier on set arithabort off set numeric_roundabort off set ansi_warnings on set ansi_padding on set ansi_nulls on set concat_null_yields_null on set cursor_close_on_commit off set implicit_transactions off set language us_english set dateformat mdy set datefirst <###> set transaction isolation level read committed	S1P-INT-SQL\PWCSQL	skylab\ope_sql_int	SQLAgent - TSQL JobStep (Job 0xC72DBC247DB0514AB5621B5F44F2C521 : Step 1)	S1P-INT-SQL	Login	Audit_Login	2022-05-12	10:00:00	5	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
1	set quoted_identifier on set arithabort off set numeric_roundabort off set ansi_warnings on set ansi_padding on set ansi_nulls on set concat_null_yields_null on set cursor_close_on_commit off set implicit_transactions off set language us_english set dateformat mdy set datefirst  set transaction isolation level read committed	set quoted_identifier on set arithabort off set numeric_roundabort off set ansi_warnings on set ansi_padding on set ansi_nulls on set concat_null_yields_null on set cursor_close_on_commit off set implicit_transactions off set language us_english set dateformat mdy set datefirst <###> set transaction isolation level read committed	S1P-INT-SQL\PWCSQL	skylab\ope_sql_int	Microsoft SQL Server	S1P-INT-SQL	Login	Audit_Login	2022-05-12	10:00:00	7	0	0	0	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	0	0	0	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	0	0	0	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	0	0	0	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
7	-	-	S1P-INT-SQL\PWCSQL	skylab\ope_sql_int	SQLAgent - TSQL JobStep (Job 0xC72DBC247DB0514AB5621B5F44F2C521 : Step 1)	S1P-INT-SQL	Logout	Audit_Logout	2022-05-12	10:00:00	5	4	17	52	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	50	50	250	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
1	-	-	S1P-INT-SQL\PWCSQL	skylab\ope_sql_int	Microsoft SQL Server	S1P-INT-SQL	Logout	Audit_Logout	2022-05-12	10:00:00	7	10	16	26	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	2	2	14	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	0	0	0	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
7	-	-	S1P-INT-SQL\PWCSQL	skylab\ope_sql_int	SQLAgent - TSQL JobStep (Job 0x0CA622C248FDE44FBFF4F49AABFB61DA : Step 1)	S1P-INT-SQL	Logout	Audit_Logout	2022-05-12	10:00:00	5	36	77	267	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0	15	15	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	31	34	166	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
4	set quoted_identifier on set arithabort off set numeric_roundabort off set ansi_warnings on set ansi_padding on set ansi_nulls on set concat_null_yields_null on set cursor_close_on_commit off set implicit_transactions off set language us_english set dateformat mdy set datefirst  set transaction isolation level read committed	set quoted_identifier on set arithabort off set numeric_roundabort off set ansi_warnings on set ansi_padding on set ansi_nulls on set concat_null_yields_null on set cursor_close_on_commit off set implicit_transactions off set language us_english set dateformat mdy set datefirst <###> set transaction isolation level read committed	S1P-INT-SQL\PWCSQL	skylab\ope_sql_int	SQLAgent - Update job activity	S1P-INT-SQL	Login	Audit_Login	2022-05-12	10:00:00	12	0	0	0	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	0	0	0	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	0	0	0	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	0	0	0	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12
4	-	-	S1P-INT-SQL\PWCSQL	skylab\ope_sql_int	SQLAgent - Update job activity	S1P-INT-SQL	Logout	Audit_Logout	2022-05-12	10:00:00	12	0	10	17	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	4	12	62	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	0	9	9	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12
8	-	-	S1P-INT-SQL\PWCSQL	ope_pwc_domain	-	10.50.7.2	Logout	Audit_Logout	2022-05-12	08:30:00	1	5400250	5400250	5400250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	10	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
