Disk Name	Label	Size MB	Free MB	Data Files MB	Log Files MB
C	 	122377	64432	0	0
E	DATA          	204796	32111	0	0
F	LOG           	61436	19637	0	0
G	RESPALDOS     	102396	40507	0	0
H	TEMPDB        	61436	59283	0	0
I	ADMDBA        	61436	49401	0	0
J	DATA_PWC      	102396	93731	5366	37.6875
K	LOG_PWC       	51196	40741	0	9280
L	RESPALDO_PWC  	51196	48463	0	0
M	TEMPDB_PWC    	25596	25181	288	8
