Name	File Name	File Size	File Group Name	MaxSize	Growth	Is Growth Percentage	Is Disk	Is Log
MSDBData	E:\ROOT\MSSQL14.MSSQLSERVER\MSSQL\DATA\MSDBData.mdf	943718400	PRIMARY	2147483648	16384	False	True	False
MSDBLog	E:\ROOT\MSSQL14.MSSQLSERVER\MSSQL\DATA\MSDBLog.ldf	1353908224		2199023255552	1280	False	False	True
